Account: NYC Alliance for Downtown New York
User: Sarah
Generated On: 03/29/2018
Filters: 
Streams: All
Groups: All
Components: All
Status: All


"Description","Serial","Streams","Model","Capacity","Status","Fullness Threshold","Age Threshold","Last Called","Lat","Lng"
"N/W/C Vesey St & Broadway","2404019","Trash","HC4","High","In Service","60%","Disabled","2 hours ago","40.711640137656985","-74.0087838916794"
"N/W/C Vesey St & Broadway","2404019-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.711640137656985","-74.0087838916794"
"N/W/C Washington St & Rector St","2403960","Trash","HC4","High","In Service","60%","Disabled","2 hours ago","40.70823290308893","-74.01449081688003"
"N/W/C Washington St & Rector St","2403960-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70823290308893","-74.01449081688003"
"N/W/C Water St & Maiden La","2404032","Trash","HC4","High","In Service","60%","Disabled","25 minutes ago","40.706212064878784","-74.0060114711639"
"N/W/C Water St & Maiden La","2404032-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.706212064878784","-74.0060114711639"
"N/W/C Water St & Wall St","1401737","Trash","HC4","High","In Service","60%","Disabled","5 hours ago","40.705249982653335","-74.00739282392527"
"N/W/C Water St & Wall St","1401737-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.705249982653335","-74.00739282392527"
"N/W/C Whitehall St & Bridge St","2403921","Trash","HC4","High","In Service","60%","Disabled","2 hours ago","40.70362816748471","-74.01318130859835"
"N/W/C Whitehall St & Bridge St","2403921-left","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70362816748471","-74.01318130859835"
"N/W/C William St & Pine St","2404021","Trash","HC4","High","In Service","60%","Disabled","5 hours ago","40.70699262365978","-74.00897697668648"
"N/W/C William St & Pine St","2404021-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70699262365978","-74.00897697668648"
"S/E/C Ann St & Park Row","2403985","Trash","HC4","High","In Service","60%","Disabled","14 minutes ago","40.711266313503366","-74.00856738035657"
"S/E/C Ann St & Park Row","2403985-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.711266313503366","-74.00856738035657"
"S/E/C Battery Pl & Greenwich st","2404250","Trash","HC4","High","In Service","60%","Disabled","2 hours ago","40.704590459409644","-74.01489997966712"
"S/E/C Battery Pl & Greenwich st","2404250-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.704590459409644","-74.01489997966712"
"S/E/C Battery Pl & Washington St","2403973","Trash","HC4","High","In Service","60%","Disabled","2 hours ago","40.70472804201826","-74.01559052257613"
"S/E/C Battery Pl & Washington St","2403973-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70472804201826","-74.01559052257613"
"S/E/C Battery St & West St","2404079","Trash","HC4","High","In Service","60%","Disabled","2 hours ago","40.70470952880824","-74.01646666323836"
"S/E/C Battery St & West St","2404079-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70470952880824","-74.01646666323836"
"S/E/C Beakman St & Nassau St","2404174","Trash","HC4","High","In Service","80%","Disabled","3 hours ago","40.71115725619615","-74.006486079463"
"S/E/C Beakman St & Nassau St","2404174-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.71115725619615","-74.006486079463"
"S/E/C Broad St & Beaver St","2404263","Trash","HC4","High","In Service","60%","Disabled","4 hours ago","40.70487460036539","-74.01149823372953"
"S/E/C Broad St & Beaver St","2404263-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70487460036539","-74.01149823372953"
"S/E/C Broadway & Cedar St","1510207","Trash","HC5","High","In Service","60%","Disabled","5 hours ago","40.708722238595975","-74.01080207735026"
"S/E/C Broadway & Cedar St","1510207-left","Bottles/Cans","SCC5","Standard","In Service","80%","Disabled","","40.708722238595975","-74.01080207735026"
"S/E/C Broadway & Exchange Pl","2403959","Trash","HC4","High","In Service","60%","Disabled","15 minutes ago","40.70673694216651","-74.01249726502971"
"S/E/C Broadway & Exchange Pl","2403959-left","Paper","SCC4","Standard","In Service","80%","Disabled","","40.70673694216651","-74.01249726502971"
"S/E/C Broadway & Fulton St","2403911","Trash","HC4","High","In Service","60%","Disabled","3 hours ago","40.710738920385076","-74.00906095526847"
"S/E/C Broadway & Fulton St","2403911-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.710738920385076","-74.00906095526847"
